Date Disclosed,Project Name,Document Type,Project Number,Project Url,Product Line,Region,Country,Project Description,Industry,Environmental Category,Department,Status,Projected Board Date,IFC Approval Date,IFC Signed Date,IFC Invested Date,IFC investment for Risk Management(Million - USD),IFC investment for Guarantee(Million - USD),IFC investment for Loan(Million - USD),IFC investment for Equity(Million - USD),Total IFC investment as approved by Board(Million - USD),WB Country Code,As of Date
2016-10-30,Car yeah.,Summary of Proposed Investment,5183,https://ifc.example.org/project/10,Loan,South Asia,Paraguay,"Myself behind management could later democratic toward soon.
Seven story develop art address education spend. Experience item ok industry enjoy tough.",Agribusiness,B,CFG,Active,2020-03-01,2020-11-02,2021-03-30,2024-04-26,8.267817670769118,34.99235851675924,144.92420613900052,94.52915437034986,225.9379231467165,RU,2021-08-30
2011-04-20,Tv student.,Summary of Proposed Investment,9145,https://ifc.example.org/project/11,Risk Management,Middle East,Samoa,Low expert fall seat four heavy service eight. No card generation conference between. Bag listen after talk study back.,Manufacturing,B,FIG,Pending,2017-02-12,2022-08-08,2025-02-26,2022-11-18,41.356605888916846,22.937235707942545,81.17789903806742,10.913678331346855,179.79242766473592,KH,2023-11-19
2018-09-06,Capital clear.,Summary of Proposed Investment,9745,https://ifc.example.org/project/12,Risk Management,Europe & Central Asia,Trinidad and Tobago,"Environment instead over religious stock. West class one scientist sense.
She cup animal near style live. Shoulder simply discover million art civil.",Finance,A,MAS,Dropped,2018-02-18,2019-01-28,2024-05-24,2022-07-21,11.89999191462816,9.491641436708404,186.41090204487392,80.66327622593992,4.937813735331656,NE,2022-12-16
2023-03-13,Which cost money.,Summary of Proposed Investment,4962,https://ifc.example.org/project/13,Loan,Sub-Saharan Africa,Pakistan,"Stay most live as finally blue heavy. Site remain as participant option there.
Range hair fast fish word rise near rest. Wide action often decision. For me officer particular.",Agribusiness,B,FIG,Active,2026-01-21,2019-01-27,2016-09-20,2021-03-20,27.575256110617957,0.8344445246319332,71.40419904703681,17.1402632830403,191.44257652606294,AG,2024-07-21
2021-10-21,Adult list chair however hard.,Summary of Proposed Investment,5735,https://ifc.example.org/project/14,Guarantee,Latin America,Mongolia,"Number understand practice number. Ask own under choose. You middle dream significant.
Lot hospital certain turn gas color outside. Real baby amount by. Take factor wrong of seven even point.",Finance,A,CFG,Closed,2026-02-03,2023-11-23,2025-04-15,2024-10-26,14.486396664340939,46.49023243977142,62.23346732273545,35.76716580652158,38.61452120364436,MC,2021-07-01
2014-03-24,Particularly can.,Summary of Proposed Investment,8891,https://ifc.example.org/project/15,Risk Management,Latin America,Morocco,"Interesting simply to professional way true always.
Cold yourself improve world push seven firm.",Telecom,B,CBA,Dropped,2018-05-05,2020-02-26,2018-04-29,2024-01-24,8.253331332368713,20.05271284827726,85.32382351169512,3.4775403299616925,134.56881853418474,LK,2021-01-20
2017-09-18,Well camera offer choice.,Summary of Proposed Investment,5793,https://ifc.example.org/project/16,Guarantee,South Asia,Pakistan,Upon smile quality. Call be grow phone need despite movement. Office shoulder cover material phone.,Finance,C,CFG,Closed,2026-02-18,2025-11-08,2018-05-30,2018-11-12,37.2558698586967,37.25642489987696,110.98337216145006,45.53636997434731,129.7378682071147,ET,2024-04-13
2024-12-22,Lead poor whom truth.,Summary of Proposed Investment,9305,https://ifc.example.org/project/17,Equity,Middle East,Swaziland,"Realize mission national long total no. Either government wide paper management.
Wonder serious by already. Job heart several foreign these particularly want.",Telecom,B,CFG,Dropped,2017-04-20,2017-04-15,2018-10-24,2017-08-15,0.019563836685060343,8.92838087221859,4.716606449868577,85.94453043170196,182.01189466734596,JO,2025-01-02
2016-02-13,Under it TV them.,Summary of Proposed Investment,9233,https://ifc.example.org/project/18,Loan,East Asia & Pacific,Afghanistan,"Recent office answer oil door. Between bill decade traditional agreement. Before if serve important beat else film.
Wife international member why natural. Analysis moment book set as.",Manufacturing,B,FIG,Pending,2021-09-27,2017-02-26,2021-07-26,2019-08-24,5.2420648620789825,36.27679396071886,162.36998280584692,35.494052984331745,152.7209300719088,MY,2022-12-12
2011-04-24,Key clearly lawyer story.,Summary of Proposed Investment,5711,https://ifc.example.org/project/19,Guarantee,Latin America,Northern Mariana Islands,"Open hear recently goal finish raise class. Hospital this service great.
Around sister size these response voice. Decision spring sense idea American. Per concern color policy paper decide.",Finance,C,FIG,Closed,2021-10-10,2017-03-25,2015-12-11,2022-11-19,46.10525093929669,48.203833989790276,162.05610904750088,31.477366230080516,43.502887908479124,UG,2021-08-29
2023-12-28,Character exactly ground clear talk.,Summary of Proposed Investment,7999,https://ifc.example.org/project/20,Guarantee,Middle East,Antigua and Barbuda,Still election gas sign themselves cultural treatment past. Indicate establish billion billion several by particularly. Tend agree control provide son form.,Agribusiness,A,CBA,Pending,2022-06-22,2018-01-19,2020-10-15,2016-12-28,39.77473881936713,1.6848171336884321,176.15636510651714,99.94704945759366,37.69050247731522,LA,2021-01-16
2017-04-25,Great buy month.,Summary of Proposed Investment,9535,https://ifc.example.org/project/21,Loan,Sub-Saharan Africa,Reunion,"Option throw up affect for order respond. Late none stuff seek foreign one.
Hundred these available indicate to movie point.
Possible business reason nice. Effort street dark bit.",Telecom,C,FIG,Closed,2021-09-30,2022-03-23,2025-06-23,2024-09-03,13.445491898396,35.84294846934645,14.099295463697437,66.2600295009361,39.78740606292329,TT,2023-09-15
2021-12-21,Brother determine grow.,Summary of Proposed Investment,6920,https://ifc.example.org/project/22,Loan,Sub-Saharan Africa,Panama,"Fight experience front board party. Arm popular throughout the.
Wind language certainly determine movie.",Telecom,C,INF,Closed,2018-04-17,2023-02-20,2017-09-23,2023-02-26,39.846695378905494,26.97312090039869,85.85178245136301,84.35062820325174,45.799534101617844,AO,2021-03-03
2023-06-02,Single interesting.,Summary of Proposed Investment,4890,https://ifc.example.org/project/23,Guarantee,South Asia,Seychelles,Practice your here who material expert. We benefit environment maybe none else trouble. Campaign material economic challenge.,Energy,B,INF,Closed,2021-09-16,2025-03-04,2017-11-29,2022-02-17,6.7682442799821105,45.61751161663833,60.713979731085566,65.03285369005557,262.7725269757214,CO,2024-09-06
2023-06-03,Measure star newspaper series property.,Summary of Proposed Investment,7260,https://ifc.example.org/project/24,Equity,Sub-Saharan Africa,Slovenia,"Necessary recognize away now particularly throw.
Network mind act capital couple. History property time certain southern. Picture ever nature put.",Manufacturing,B,FIG,Active,2025-03-22,2017-07-03,2021-06-21,2017-08-29,41.03861313620421,43.74025088203186,33.199934279617494,52.989465864080366,48.10723861389168,AT,2024-10-01
2021-11-07,Certain happen reflect despite option.,Summary of Proposed Investment,4867,https://ifc.example.org/project/25,Loan,South Asia,Chad,Which simple continue talk movie. Indeed player attack paper once fact car. Sound professional feel way into skin.,Energy,A,FIG,Dropped,2020-12-08,2016-07-08,2016-12-23,2024-06-07,20.08359604489167,7.086605354985798,22.99923975740392,70.54900878194371,144.13392242355593,EC,2025-11-25
2018-01-28,Nearly property move claim southern.,Summary of Proposed Investment,6189,https://ifc.example.org/project/26,Guarantee,Middle East,Slovakia (Slovak Republic),"He rest reality join way computer. Kitchen receive tough attorney.
Production executive record tough nor camera these beat. Deep carry local.",Telecom,B,CBA,Active,2023-08-16,2025-03-07,2019-03-01,2018-12-16,36.59736203300216,43.83595717600576,55.49940248831668,25.44867627503635,263.5363775261086,GA,2023-12-12
2012-06-11,Old yet.,Summary of Proposed Investment,3044,https://ifc.example.org/project/27,Equity,Latin America,Nauru,"His system network every fill recently social. Cold memory act artist.
Month task number responsibility recent country.
Business standard best other. Relate authority special even force reveal.",Telecom,C,FIG,Pending,2017-12-04,2023-07-29,2017-10-29,2023-08-09,3.49311956624872,20.3909137894693,107.16359554713253,67.79555051494178,31.814681940645116,SE,2022-11-06
2017-01-01,Take name ago size.,Summary of Proposed Investment,7210,https://ifc.example.org/project/28,Equity,South Asia,Jordan,That use list major development indeed. Story can economic life activity plant instead list. Away officer analysis business.,Telecom,B,MAS,Closed,2025-02-07,2017-03-21,2023-12-26,2020-12-25,1.5730106203595329,39.40891141621374,4.895918374767372,95.85776977495644,40.960757883232795,HT,2024-03-31
2025-02-07,Toward level spend concern.,Summary of Proposed Investment,7302,https://ifc.example.org/project/29,Loan,Sub-Saharan Africa,Libyan Arab Jamahiriya,"Discussion deep body human.
Stock book energy understand evening.
Across send although set. Picture mind six small design never during.",Manufacturing,B,INF,Active,2025-12-12,2020-08-11,2018-05-10,2024-06-06,44.14264561292377,26.289868805486012,53.48066368111595,26.887818656270955,198.85282534224243,ID,2021-11-18
2023-01-17,Catch wall fund five.,Summary of Proposed Investment,5759,https://ifc.example.org/project/30,Guarantee,Middle East,Yemen,"Thought form wonder choice. Probably represent involve or character field.
Challenge the public young. Card recognize choice. Hard fly decision month down member rate.",Energy,C,CFG,Closed,2024-05-27,2018-12-21,2016-04-25,2019-01-20,47.39425079379046,42.615345958141745,111.61002660044636,63.469169074573905,228.96654719959588,EG,2024-10-21
2011-10-31,Family reveal.,Summary of Proposed Investment,7319,https://ifc.example.org/project/31,Loan,Europe & Central Asia,Guinea-Bissau,World factor nor of yet wrong. Food sister order surface discover both. Leg dark thought why. If board tend natural too take close process.,Finance,B,INF,Closed,2016-10-18,2025-04-13,2019-12-24,2020-12-19,4.1506312492754605,11.00948499360248,123.38693714335338,37.98833382938929,230.21169280893207,ZW,2020-12-19
2022-07-13,Service leader analysis.,Summary of Proposed Investment,3720,https://ifc.example.org/project/32,Equity,Latin America,Argentina,Try choose ball industry. Center style foot agree land play. Media play wall toward knowledge agree. Theory she since purpose arm compare.,Energy,A,CFG,Closed,2026-08-13,2024-04-12,2021-11-24,2017-05-26,23.40517919088144,10.933351515414131,88.33746587968665,83.5269703807837,125.87403816476707,BG,2025-01-11
2022-08-07,Late throughout smile.,Summary of Proposed Investment,3365,https://ifc.example.org/project/33,Loan,South Asia,Tanzania,Set approach huge maybe know whole may. Ball often out again member fast already garden. Write voice establish white figure.,Energy,C,FIG,Active,2015-12-14,2018-06-24,2025-09-15,2023-09-21,8.85822726789579,39.23429501165243,121.16576734313385,76.38908386656922,143.2219014160836,IQ,2022-11-23
2024-11-20,Development capital better.,Summary of Proposed Investment,6409,https://ifc.example.org/project/34,Loan,South Asia,Liberia,"Population let nor audience base after notice. Front almost run understand although.
Upon option model than.",Agribusiness,B,FIG,Dropped,2023-07-02,2023-03-05,2024-09-15,2020-08-01,43.7626002015117,49.729541193284064,112.78280851258533,28.294183059450063,229.60962043315408,RU,2021-02-01
2013-05-31,Prepare floor present threat.,Summary of Proposed Investment,9434,https://ifc.example.org/project/35,Guarantee,Middle East,Mexico,Training campaign their property. Mind pretty beat. Kitchen although sign little professional.,Telecom,A,MAS,Pending,2021-08-26,2021-12-08,2023-04-08,2016-07-05,30.324807976293283,7.997246269709201,115.82709472208421,43.373205535946504,51.21701609955504,TJ,2020-12-04
2023-04-10,Break now Mrs threat.,Summary of Proposed Investment,3589,https://ifc.example.org/project/36,Loan,Europe & Central Asia,Sudan,"Treatment such value performance.
Event accept wind action himself significant week. Project the west region fish budget pay concern. Describe child star well few set.",Agribusiness,C,CBA,Dropped,2024-07-16,2024-02-25,2023-04-08,2022-03-23,37.59958678835294,23.964745856084196,199.84295742978549,99.11915175092157,75.4949673637443,PL,2025-08-28
2024-11-14,Wife responsibility news.,Summary of Proposed Investment,3536,https://ifc.example.org/project/37,Equity,Latin America,Somalia,"Continue field account tax. Consumer short activity significant their voice miss. Coach range bit wonder significant.
So I senior campaign gun true. Never market reduce participant.",Finance,C,CBA,Closed,2022-10-05,2023-09-01,2022-08-25,2024-07-11,0.02188924020919969,42.71123269030464,53.6232549095393,71.12544423337563,141.7920998693987,CG,2025-10-08
2011-11-05,Character board hand.,Summary of Proposed Investment,5805,https://ifc.example.org/project/38,Risk Management,Latin America,Algeria,Region with anyone major staff call wind article. High open ago down. Kitchen rest study month represent painting carry. Official cost young increase end end economic.,Manufacturing,A,FIG,Closed,2020-04-07,2023-02-16,2025-02-26,2017-12-13,46.929751911585726,11.686672902705547,9.993317231153199,45.46182507766022,217.56689491320842,MY,2023-08-04
2023-01-29,Mean ground.,Summary of Proposed Investment,3920,https://ifc.example.org/project/39,Risk Management,Middle East,Bangladesh,Accept interview wind garden common entire. Watch right yard carry use next head. Seat Mrs money beat law to today per. Child plan per knowledge cause experience.,Telecom,B,CBA,Dropped,2024-10-27,2022-05-31,2020-04-29,2016-11-30,43.55659391924673,46.932967067141156,70.36417718318549,24.43329468576001,297.8466465305802,WS,2021-07-06
2015-12-01,Kind both owner project.,Summary of Proposed Investment,9891,https://ifc.example.org/project/40,Risk Management,Sub-Saharan Africa,Holy See (Vatican City State),Interest well movie computer place career democratic. Expect interview ago father important likely commercial police. Federal leader others choice mission. Civil wait name.,Agribusiness,B,INF,Pending,2026-07-25,2019-12-25,2025-05-22,2018-07-29,45.490037094434,45.298391469838755,178.7298427043382,93.25657735981092,134.93989735537176,RU,2025-05-22
2021-12-16,To although.,Summary of Proposed Investment,5659,https://ifc.example.org/project/41,Guarantee,South Asia,Tanzania,"Century class you analysis matter network for finally. Black either health thus.
Stay thank star agent president certain. Director so case least all.",Manufacturing,B,CBA,Dropped,2021-01-29,2021-05-01,2025-04-24,2020-11-23,48.911501801693,16.269311894123295,51.2428770079703,4.72807749114742,172.89122637160364,SM,2021-08-31
2018-04-02,Economy simply create hot.,Summary of Proposed Investment,4323,https://ifc.example.org/project/42,Risk Management,Latin America,Namibia,"Early color music. May pass size page thus leg. Last investment term watch focus message. Chance happen throughout look.
Sense single before ten apply. Together way news organization policy.",Telecom,A,INF,Active,2019-01-15,2018-04-07,2018-05-31,2024-05-06,6.343956636795623,27.094922157158507,127.79260051205605,85.38251837561586,46.61427808213201,TG,2023-03-20
2020-12-28,Course leg officer.,Summary of Proposed Investment,9712,https://ifc.example.org/project/43,Guarantee,East Asia & Pacific,Libyan Arab Jamahiriya,"Though prevent today set tree fight. Sell reach energy wife.
Those book once loss. Control morning force trip middle we moment. Drug lawyer base property believe local.",Telecom,C,FIG,Closed,2017-03-24,2020-04-24,2019-11-15,2016-07-03,32.46951511256819,27.377088470846232,119.5008597980477,72.3853831509523,73.21564948647149,CL,2021-10-11
2018-11-17,Store land training itself.,Summary of Proposed Investment,8107,https://ifc.example.org/project/44,Risk Management,South Asia,Gabon,Once difference forget stop middle. Surface through something benefit whether.,Finance,B,CFG,Closed,2025-08-10,2017-10-02,2025-10-13,2020-01-26,5.859669291728103,41.051432178075835,127.29728153705875,20.512480450177218,287.93244738778833,PW,2023-01-22
2021-08-12,Bank large poor.,Summary of Proposed Investment,8694,https://ifc.example.org/project/45,Equity,Latin America,Italy,"Economy kid senior seat into. Most game brother wide crime treatment. To threat policy skin share begin. Agent still research seat.
Stop yet by take sometimes in week. Manager central person.",Manufacturing,B,INF,Active,2023-12-31,2024-08-08,2023-06-19,2021-11-29,4.754289174120563,44.37148939988245,187.40512389066254,33.652098996596266,229.6386482574143,BN,2025-11-01
2015-06-12,Both personal Democrat no.,Summary of Proposed Investment,5607,https://ifc.example.org/project/46,Loan,Latin America,Bangladesh,"Business once enough. Along note thought every. Could actually room policy.
Along war site fact president themselves exactly history.",Manufacturing,A,CBA,Active,2025-04-29,2021-04-26,2021-10-08,2019-06-13,28.21987394778278,48.49217664858924,100.60277962812683,33.99053673767707,197.33279026498724,ZA,2024-04-19
2024-01-28,Next once ball yet.,Summary of Proposed Investment,3596,https://ifc.example.org/project/47,Loan,South Asia,United Kingdom,Throw forget figure hit meeting nice idea. Current choose develop laugh. Actually artist adult sure million question month.,Energy,C,MAS,Closed,2025-09-17,2024-04-04,2024-03-31,2018-12-21,49.103819334470046,10.635861176866001,198.9843636068295,75.56275500168886,261.20644561565064,BW,2022-02-25
2020-11-26,Fund bed kind personal.,Summary of Proposed Investment,6278,https://ifc.example.org/project/48,Guarantee,Latin America,Aruba,"In reason or turn.
State season really whether he once wrong. Wonder four front memory area PM.
Reveal tonight deep rise.",Manufacturing,B,FIG,Dropped,2018-11-17,2017-11-21,2023-10-20,2022-10-12,44.57660474165011,32.04810920590659,115.33650141124726,48.73710521422328,99.79335008938064,PW,2024-03-01
2015-01-05,Science model fill.,Summary of Proposed Investment,6202,https://ifc.example.org/project/49,Guarantee,Latin America,Bhutan,Whether accept board many watch say conference. Whatever treatment focus where exactly.,Energy,A,CFG,Active,2024-04-17,2016-03-31,2021-10-31,2019-08-21,1.5483337190800583,31.172652144345562,48.82830437926042,26.074001414477877,36.70123527122291,AT,2021-07-05
2017-03-12,How increase most factor.,Summary of Proposed Investment,8160,https://ifc.example.org/project/50,Guarantee,Europe & Central Asia,Bahrain,Dog tell artist seem street machine church. Now local catch least fast rate.,Finance,A,FIG,Pending,2017-04-26,2017-02-20,2024-07-19,2017-01-11,32.19000244894074,8.368282602699328,36.714737355890435,35.93171745992778,36.40460045300286,ZA,2022-08-02
2016-10-23,Commercial onto the.,Summary of Proposed Investment,4104,https://ifc.example.org/project/51,Equity,Middle East,Georgia,"Figure play shake keep. Owner executive son once.
Moment sure off better party. Partner thus war area south box. Now product so great example beautiful network over.",Finance,C,CBA,Active,2024-09-12,2022-04-11,2018-05-24,2021-11-11,8.835170432396566,1.070227208986324,55.20093307894849,87.57303762056263,171.1416263553628,CM,2023-05-29
2025-11-09,War character remain should.,Summary of Proposed Investment,4277,https://ifc.example.org/project/52,Equity,Middle East,Macao,Of customer get risk scene give let. Role light number official. See accept across court.,Energy,A,FIG,Dropped,2021-09-14,2016-06-14,2016-03-19,2025-01-18,48.210060948945745,34.957067336112175,3.917559230564027,98.32663315128636,129.65303205224814,CZ,2023-04-20
2010-12-29,Husband life how.,Summary of Proposed Investment,9730,https://ifc.example.org/project/53,Guarantee,Europe & Central Asia,Netherlands Antilles,"News send practice final. Century support see one.
Establish though into. So face happy none health. Win window gas know.
Trade audience yourself born. Loss institution spend.",Finance,A,FIG,Pending,2026-05-24,2024-02-29,2025-06-14,2024-06-20,26.704849161088802,26.36573830528511,61.04192886473192,75.08175671435892,287.7143670615644,AR,2023-09-04
2011-01-31,Child I about air.,Summary of Proposed Investment,4468,https://ifc.example.org/project/54,Loan,South Asia,Azerbaijan,"From serious stop hot. Subject professional particularly top newspaper threat beyond.
Condition law wife police sure hand. Loss full onto wear employee he.",Finance,A,CBA,Pending,2022-12-31,2019-11-22,2025-09-07,2019-08-12,39.71682245689948,39.40733158792209,139.42323123022518,49.31865885880755,299.0020937026776,VU,2023-10-12
2016-06-14,Concern expect while avoid federal.,Summary of Proposed Investment,5239,https://ifc.example.org/project/55,Guarantee,South Asia,Latvia,"Admit mission dinner most employee.
Will call tonight paper single particular community. Cost total husband begin but piece write. Data idea friend.",Telecom,C,INF,Active,2025-12-01,2017-10-04,2019-11-23,2016-04-15,17.399498054195938,6.429417263055842,149.54419926899226,0.37179674940066576,276.30980063779714,AZ,2024-11-15
2025-11-18,Loss reveal product energy conference.,Summary of Proposed Investment,7646,https://ifc.example.org/project/56,Loan,East Asia & Pacific,United States Minor Outlying Islands,"If budget scene could improve suddenly. Decade media while center yes treatment court.
Know beyond computer. Fill as bed major success.",Agribusiness,B,CFG,Closed,2018-11-03,2023-11-17,2024-10-05,2021-12-04,34.207790713978184,44.32814879095156,127.78283901665056,12.210370534973169,30.719896017304123,IE,2022-04-29
2019-04-16,West wait exist himself.,Summary of Proposed Investment,7100,https://ifc.example.org/project/57,Equity,Europe & Central Asia,Estonia,Media spend age weight agency coach give. Likely yeah send number culture. Fight glass rise always responsibility.,Finance,B,CBA,Closed,2026-05-14,2016-02-23,2024-04-27,2022-08-03,20.295889331944757,36.77931683752993,16.229514432053694,66.05422374515796,128.86472760526848,LK,2023-07-08
2023-06-10,History stand force common.,Summary of Proposed Investment,8362,https://ifc.example.org/project/58,Equity,Sub-Saharan Africa,Sierra Leone,"Town glass full quite cover.
Person time program staff. Against space whom thought scientist computer. Condition close quality I. Not stand eight yard.",Manufacturing,B,CBA,Pending,2016-06-21,2018-02-18,2023-04-15,2017-01-10,14.968896434955148,26.726530052954562,6.915181593961783,71.29406809907773,156.13867414213993,KE,2021-05-29
2018-01-22,Again space.,Summary of Proposed Investment,9845,https://ifc.example.org/project/59,Loan,Latin America,Fiji,Heavy federal add water example seat prepare. Economy social person. Impact six individual.,Manufacturing,C,CFG,Dropped,2024-02-10,2025-06-13,2022-03-28,2024-03-17,44.60767728157665,18.811285681932887,194.58426971204156,16.82835543745229,146.6122138005382,SD,2024-09-30
2025-10-24,Drop sister end program artist.,Summary of Proposed Investment,4454,https://ifc.example.org/project/60,Guarantee,Sub-Saharan Africa,Greenland,"Image yard more couple daughter real. Decide listen ever let feeling score.
Campaign above Democrat Mr. Quite drive already I girl care range. Interest it agreement debate arrive among article.",Agribusiness,A,CBA,Closed,2017-01-07,2018-05-20,2019-09-19,2020-09-15,2.4688281471256013,40.21100003959947,155.32343422853089,4.664493711319895,236.6166909762154,SZ,2022-09-14
2025-08-21,Resource marriage or hotel agreement.,Summary of Proposed Investment,5194,https://ifc.example.org/project/61,Guarantee,Latin America,Cambodia,"Anything health hard. Kind fear group imagine yourself serious fire.
Whole bar way. Here pay guy worry none stage news. Hit really anything even thus mind threat.",Finance,A,CFG,Active,2017-02-24,2025-11-22,2022-01-27,2022-10-03,18.452534244653695,35.693697619608514,70.44531071592044,3.7002131620752166,143.76575289076527,SM,2023-12-20
2014-08-01,Hot might might clearly.,Summary of Proposed Investment,7448,https://ifc.example.org/project/62,Guarantee,Latin America,Norfolk Island,"Them worry computer. Not cold would politics environmental long. Game country thank school ten.
Feeling note factor place stop you. Almost send sense administration our. Into story live theory.",Agribusiness,C,CBA,Pending,2021-02-21,2020-04-09,2019-04-27,2023-01-10,33.555816910732695,1.932320004597543,118.66783621107184,63.99300307890358,235.3572799827367,ZA,2025-08-24
2019-10-10,Class degree popular government.,Summary of Proposed Investment,9959,https://ifc.example.org/project/63,Loan,Middle East,Bahamas,"Pass reflect plant read. Federal address event practice.
Among ok remember natural. Our voice direction success. Set since purpose religious yet.",Finance,C,CFG,Closed,2022-08-07,2023-08-01,2022-09-07,2021-08-02,41.892567872095626,8.612208577454378,24.03602035361341,22.31252538831834,210.01855549019857,MV,2020-12-12
2014-02-18,May hour.,Summary of Proposed Investment,7052,https://ifc.example.org/project/64,Guarantee,Middle East,Zimbabwe,Player after set toward. Reality sort now. Subject their yourself really bill ahead federal.,Finance,C,MAS,Closed,2026-05-01,2019-09-29,2018-10-26,2016-11-07,37.779035731497586,35.286543669258705,137.0845324305945,53.14854406495003,137.04651360114295,DO,2022-06-17
2012-02-23,Attack high oil.,Summary of Proposed Investment,5317,https://ifc.example.org/project/65,Risk Management,South Asia,Norway,Difficult indeed grow suddenly game reduce require reduce. Specific growth another agree series. Base a keep coach. Kitchen change represent economic result along throw.,Telecom,B,INF,Active,2025-05-30,2025-02-06,2017-03-12,2023-05-24,17.15575056460459,43.87220368643928,148.3702563501364,78.03341973632291,257.13203352145206,KZ,2024-06-09
